"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy"
293, 9.332200004036104e-01, 1.050269690255990e-02, 1.055150777265091e+00, 5.376939763154969e-01, -1.118003171447922e-01, 2.838432362412132e+00, 1.078203082689545e+00, 1.021847404106743e+00, 4.351653152476592e-01, 3.693179820049342e-01, -1.837518337488575e-08, 3.391439681310615e-07, -7.534469789738374e-08, 1.599426000531423e-07
294, 9.316526957869223e-01, 1.083009999652675e-02, 1.054716956555125e+00, 5.384003397846380e-01, -1.130303410020676e-01, 2.837439294559684e+00, 1.077585764626238e+00, 1.021682412451021e+00, 4.361270228871630e-01, 3.664026664757388e-01, -1.837518337488575e-08, 3.391439681310615e-07, -7.534469789738374e-08, 1.599426000531423e-07
295, 9.300720767126112e-01, 1.116347025040304e-02, 1.054310885592994e+00, 5.390897426500265e-01, -1.142283751367331e-01, 2.836516516962291e+00, 1.077001990069600e+00, 1.021522213975666e+00, 4.370603176872629e-01, 3.636457618399044e-01, -1.696391072059100e-08, 3.284577918538645e-07, -7.474722532596623e-08, 1.590121923022991e-07
296, 9.284781816649872e-01, 1.150282580176404e-02, 1.053834691224445e+00, 5.397180386963801e-01, -1.154430652691244e-01, 2.835402196121784e+00, 1.076348649424623e+00, 1.021363842344209e+00, 4.379800778629592e-01, 3.605603278612639e-01, -1.696391072059100e-08, 3.284577918538645e-07, -7.474722532596623e-08, 1.590121923022991e-07
297, 9.268710578799176e-01, 1.184821448209717e-02, 1.053364817087099e+00, 5.405058966238357e-01, -1.167063193479528e-01, 2.834329923736370e+00, 1.075676681468804e+00, 1.021181516621568e+00, 4.390368758559673e-01, 3.573869254725087e-01, -1.566430074539937e-08, 3.272911933693834e-07, -7.633752023561424e-08, 1.633286714763926e-07
298, 9.252507498469769e-01, 1.219966201928457e-02, 1.052882703487620e+00, 5.413401564433746e-01, -1.179833334668601e-01, 2.833234039221791e+00, 1.074983372593779e+00, 1.020990627952147e+00, 4.401417206606287e-01, 3.541127395219787e-01, -1.566430074539937e-08, 3.272911933693834e-07, -7.633752023561424e-08, 1.633286714763926e-07
299, 9.236172939312347e-01, 1.255719968325066e-02, 1.052430555044523e+00, 5.421576560191989e-01, -1.192361075964131e-01, 2.832213715227226e+00, 1.074325389777088e+00, 1.020804066004754e+00, 4.412187457052230e-01, 3.510053826544905e-01, -1.670444427226414e-08, 3.189506468936898e-07, -7.507475871526559e-08, 1.565325229435643e-07
300, 9.219707317657538e-01, 1.292085248619266e-02, 1.051919721780378e+00, 5.429177640760579e-01, -1.204767980993600e-01, 2.831032192466580e+00, 1.073610983453127e+00, 1.020620643594395e+00, 4.422757902024879e-01, 3.476315629427471e-01, -1.670444427226414e-08, 3.189506468936898e-07, -7.507475871526559e-08, 1.565325229435643e-07
301, 9.203110942157813e-01, 1.329063615680890e-02, 1.051483435894383e+00, 5.437727619096141e-01, -1.217063816735301e-01, 2.830059612495702e+00, 1.072964187121547e+00, 1.020428996305484e+00, 4.433776880594507e-01, 3.445770348125015e-01, -1.713277542059188e-08, 3.122135857624997e-07, -7.463012224873111e-08, 1.526299193699288e-07
302, 9.186384277334789e-01, 1.366659886100265e-02, 1.051006332279044e+00, 5.445946827511949e-01, -1.229229239693056e-01, 2.828976327131341e+00, 1.072277203397667e+00, 1.020238575606389e+00, 4.444711656528083e-01, 3.413327197056308e-01, -1.713277542059188e-08, 3.122135857624997e-07, -7.463012224873111e-08, 1.526299193699288e-07
303, 9.169527655886245e-01, 1.404875100252138e-02, 1.050504117003108e+00, 5.454458745835612e-01, -1.241729591406701e-01, 2.827833407592023e+00, 1.071556228436955e+00, 1.020040008499828e+00, 4.456083371302084e-01, 3.379278792772368e-01, -1.467625887485724e-08, 2.937691297999478e-07, -7.183601051508059e-08, 1.486984833043437e-07
304, 9.152541390740965e-01, 1.443711361372102e-02, 1.049958263349739e+00, 5.462341958448046e-01, -1.254257023299934e-01, 2.826568182431799e+00, 1.070795674997940e+00, 1.019845942810834e+00, 4.467175154713204e-01, 3.343361274991282e-01, -1.467625887485724e-08, 2.937691297999478e-07, -7.183601051508059e-08, 1.486984833043437e-07
305, 9.135425887037193e-01, 1.483171068515166e-02, 1.049438305202049e+00, 5.470441186298823e-01, -1.266550992148280e-01, 2.825373485233113e+00, 1.070060338772559e+00, 1.019650543979849e+00, 4.478313975574852e-01, 3.308634652777302e-01, -1.613036237912979e-08, 2.802167142768042e-07, -6.930786944359113e-08, 1.377866856167032e-07
306, 9.118181460340083e-01, 1.523256521944031e-02, 1.048904654696371e+00, 5.479303472556558e-01, -1.278910488682408e-01, 2.824155535109421e+00, 1.069297569000608e+00, 1.019442104878580e+00, 4.490172443047221e-01, 3.272612467561198e-01, -1.613036237912979e-08, 2.802167142768042e-07, -6.930786944359113e-08, 1.377866856167032e-07
307, 9.100808367750741e-01, 1.563969866926320e-02, 1.048401706866013e+00, 5.489022589327307e-01, -1.291409635722658e-01, 2.823032146322342e+00, 1.068554605828388e+00, 1.019222497283621e+00, 4.502643596302040e-01, 3.237525658955736e-01, -1.430518170586481e-08, 2.754737463694923e-07, -6.900873739112967e-08, 1.404425682416388e-07
308, 9.083306909336971e-01, 1.605311960843709e-02, 1.047836954233478e+00, 5.497526669158794e-01, -1.303722638924081e-01, 2.821729045525582e+00, 1.067761352163818e+00, 1.019014788369356e+00, 4.514404007915202e-01, 3.200063856614775e-01, -1.430518170586481e-08, 2.754737463694923e-07, -6.900873739112967e-08, 1.404425682416388e-07
